
C:\Users\core\Documents\research\fileless\metasploit>C:\bin\nmap\nmap.exe localhost -sS 
Starting Nmap 7.80 ( https://nmap.org ) at 2021-04-21 22:18 Eastern Daylight Time
Skipping SYN Stealth Scan against localhost (127.0.0.1) because Windows does not support scanning your own machine (localhost) this way.
Nmap scan report for localhost (127.0.0.1)
Host is up.
Other addresses for localhost (not scanned): ::1
rDNS record for 127.0.0.1: kubernetes.docker.internal

PORT      STATE   SERVICE
1/tcp     unknown tcpmux
3/tcp     unknown compressnet
4/tcp     unknown unknown
6/tcp     unknown unknown
7/tcp     unknown echo
9/tcp     unknown discard
13/tcp    unknown daytime
17/tcp    unknown qotd
19/tcp    unknown chargen
20/tcp    unknown ftp-data
21/tcp    unknown ftp
22/tcp    unknown ssh
23/tcp    unknown telnet
24/tcp    unknown priv-mail
25/tcp    unknown smtp
26/tcp    unknown rsftp
30/tcp    unknown unknown
32/tcp    unknown unknown
33/tcp    unknown dsp
37/tcp    unknown time
42/tcp    unknown nameserver
43/tcp    unknown whois
49/tcp    unknown tacacs
53/tcp    unknown domain
70/tcp    unknown gopher
79/tcp    unknown finger
80/tcp    unknown http
81/tcp    unknown hosts2-ns
82/tcp    unknown xfer
83/tcp    unknown mit-ml-dev
84/tcp    unknown ctf
85/tcp    unknown mit-ml-dev
88/tcp    unknown kerberos-sec
89/tcp    unknown su-mit-tg
90/tcp    unknown dnsix
99/tcp    unknown metagram
100/tcp   unknown newacct
106/tcp   unknown pop3pw
109/tcp   unknown pop2
110/tcp   unknown pop3
111/tcp   unknown rpcbind
113/tcp   unknown ident
119/tcp   unknown nntp
125/tcp   unknown locus-map
135/tcp   unknown msrpc
139/tcp   unknown netbios-ssn
143/tcp   unknown imap
144/tcp   unknown news
146/tcp   unknown iso-tp0
161/tcp   unknown snmp
163/tcp   unknown cmip-man
179/tcp   unknown bgp
199/tcp   unknown smux
211/tcp   unknown 914c-g
212/tcp   unknown anet
222/tcp   unknown rsh-spx
254/tcp   unknown unknown
255/tcp   unknown unknown
256/tcp   unknown fw1-secureremote
259/tcp   unknown esro-gen
264/tcp   unknown bgmp
280/tcp   unknown http-mgmt
301/tcp   unknown unknown
306/tcp   unknown unknown
311/tcp   unknown asip-webadmin
340/tcp   unknown unknown
366/tcp   unknown odmr
389/tcp   unknown ldap
406/tcp   unknown imsp
407/tcp   unknown timbuktu
416/tcp   unknown silverplatter
417/tcp   unknown onmux
425/tcp   unknown icad-el
427/tcp   unknown svrloc
443/tcp   unknown https
444/tcp   unknown snpp
445/tcp   unknown microsoft-ds
458/tcp   unknown appleqtc
464/tcp   unknown kpasswd5
465/tcp   unknown smtps
481/tcp   unknown dvs
497/tcp   unknown retrospect
500/tcp   unknown isakmp
512/tcp   unknown exec
513/tcp   unknown login
514/tcp   unknown shell
515/tcp   unknown printer
524/tcp   unknown ncp
541/tcp   unknown uucp-rlogin
543/tcp   unknown klogin
544/tcp   unknown kshell
545/tcp   unknown ekshell
548/tcp   unknown afp
554/tcp   unknown rtsp
555/tcp   unknown dsf
563/tcp   unknown snews
587/tcp   unknown submission
593/tcp   unknown http-rpc-epmap
616/tcp   unknown sco-sysmgr
617/tcp   unknown sco-dtmgr
625/tcp   unknown apple-xsrvr-admin
631/tcp   unknown ipp
636/tcp   unknown ldapssl
646/tcp   unknown ldp
648/tcp   unknown rrp
666/tcp   unknown doom
